content_id,title,text,section,category,content_tier,content_length,authors,published_date,keywords,summary,url,top_image
1784839,2026 tax return filing programme now available on LHDN portal,"CYBERJAYA: The Income Tax Return filing programme for the year 2026 has been uploaded on the official Inland Revenue Board (LHDN) portal as a reference and guide for taxpayers submitting their returns this year.

IRB, in a statement today, said that the documents can be accessed and downloaded at www.hasil.gov.my or via the direct link here.

""To facilitate the reporting process, employers are encouraged to submit employees' remuneration and deduction details through e-C.P8D by Feb 25, 2026,"" LHDN said.

""This initiative aims to streamline the e-Filing process starting March 1, 2026,"" it added. – Bernama",News,Nation,Complimentary,Short,,2026-01-01 00:00:00,"Income Tax Returns,Inland Revenue Board,LHDN,2026",CYBERJAYA: The Income Tax Return filing programme for the year 2026 has been uploaded on the official Inland Revenue Board (LHDN) portal as a reference and guide for taxpayers submitting their returns this year.,https://www.thestar.com.my/news/nation/2026/01/01/2026-tax-return-filing-programme-now-available-on-lhdn-portal,https://apicms.thestar.com.my/uploads/images/2026/01/01/3700521.jpg
1785013,"Trading ideas: Capital A, Axis REIT, LFE, Camaroe, NCT, CJ Century, TSH, BAT, Berjaya Assts, MSC, SE Resources","KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.

Capital A Bhd said it has applied for an extension to complete the proposed distribution of AirAsia X Bhd shares to entitled shareholders by Jan 19, 2026 from Jan 2 due to an anticipated delay in AAX’s private placement exercise.

Axis Real Estate Investment Trust said it is acquiring an industrial property in Senai, Johor, for RM34.6mn.

LFE Corp Bhd said its wholly owned subsidiary, LFE Engineering Sdn Bhd, has accepted a letter of intent from Sunway Construction Bhd for a RM11.5mn subcontract to complete a proposed data centre and office development in Taman Teknologi Malaysia, Petaling, Kuala Lumpur.

Camaroe Bhd has entered into agreements to acquire two adjoining freehold industrial properties in Kapar, Klang, for RM6.3mn in cash as part of plans to address near-term capacity requirements ahead of the planned relocation of its processing operations.

NCT Alliance Bhd said shareholders have approved all resolutions tabled at its EGM, paving the way for the proposed acquisition of NCT World Sdn Bhd.

CJ Century Logistics Holdings Bhd said its chief executive officer Steven Teow Choo Hing has ceased to be a substantial shareholder following the disposal of 44.9mn shares, representing a 7.7% stake.

TSH Resources Bhd said its chairman and founder Datuk Kelvin Tan Aik Pen, 68, will resume his role as managing director of Innoprise Plantations Bhd with effect from Jan 1.

British American Tobacco (Malaysia) Bhd has appointed Datuk Seri Mohd Nizom Sairi, 63, as its new independent non-executive chairman.

Berjaya Assets Bhd has appointed Tan Tee Ming, 49, as its new chief executive officer with effect from Jan 1, 2026.

Malaysia Smelting Corporation Bhd has promoted deputy chief executive officer Nicolas Chen Seong Lee and group chief financial officer Lam Hoi Khong as co-group CEOs with effect from Jan 1, 2026.

5E Resources Holdings Bhd has received approval from Bursa Malaysia for its proposed listing on the ACE Market in 2Q26.",Business,Corporate News,Complimentary,Short,,2026-01-02 00:00:00,"Corporate News,Trading ideas,Capital A,Axis REIT,LFE,Camaroe,NCT,CJ Century,TSH,BAT,Berjaya Assts,MSC,SE Resources",KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.,https://www.thestar.com.my/business/business-news/2026/01/02/trading-ideas-capital-a-axis-reit-lfe-camaroe-nct-cj-century-tsh-bat-berjaya-assts-msc-se-resources,https://apicms.thestar.com.my/uploads/images/2026/01/02/3700895.jpg
1784886,Berjaya Assets appoints Vincent Tan’s son-in-law as new CEO,"KUALA LUMPUR: Berjaya Assets Bhd has appointed Tan Tee Ming, 49, the son-in-law of its major shareholder Tan Sri Vincent Tan Chee Yioun, as its new chief executive officer (CEO), effective immediately.

In a filing with Bursa Malaysia, it said Tee Ming, who holds an indirect interest of 1.09 million ordinary shares in Berjaya Assets, is also a brother-in-law of the company’s executive director, Chryseis Tan Sheik Ling.

Tee Ming was also appointed an executive director alongside his new role as CEO, according to Berjaya Assets’ filing with Bursa Malaysia on Wednesday.

The appointment follows the resignation of Datuk Hisham Othman, who stepped down as CEO on July 1, 2025, due to his retirement from the group.

Berjaya Assets said Tee Ming holds a Bachelor of Science degree in Business Management from King’s College London and has held various positions in several private banks in Malaysia and Singapore.

He has over 16 years of experience in managing the wealth of high-net-worth individuals.

It said Tee Ming was appointed senior general manager of Berjaya Land Bhd ’s property sales and marketing division on March 18, 2017, and was subsequently appointed executive director of Berjaya Land on April 1, 2022.

He resigned as executive director of Berjaya Land on Dec 31, 2025.

At 5pm on Wednesday, Berjaya Assets closed unchanged at 30 sen, with 161,500 shares traded and a market capitalisation of RM767.48mil.

Meanwhile, in a separate Bursa Malaysia filing, Berjaya Corp Bhd said its executive director, Norlela Baharudin, 62, resigned to pursue her personal interests. — Agencies",Business,Corporate News,Complimentary,Short,,2026-01-02 00:00:00,"Corporate News,BerjayaAssets,CEOAppointment,TanTeeMing. CorporateLeadership","Berjaya Assets Bhd has appointed Tan Tee Ming, 49, the son-in-law of its major shareholder Tan Sri Vincent Tan Chee Yioun, as its new chief executive officer (CEO), effective immediately.",https://www.thestar.com.my/business/business-news/2026/01/02/berjaya-assets-appoints-vincent-tans-son-in-law-as-new-ceo,https://apicms.thestar.com.my/uploads/images/2026/01/02/3700841.JPG
1783688,Late buying lifts FBM KLCI,"KUALA LUMPUR: Bursa Malaysia’s barometer index ended firmer yesterday, reversing losses earlier in the day to close 0.21% higher – a new high this year – driven by late buying activity amid signs of year-end window dressing.

At 5pm, the FBM KLCI rose 3.54 points to 1,684.53 from Monday’s close of 1,680.99.

The FBM KLCI, which opened 3.33 points lower at 1,677.66, slipped to the day’s low of 1,673.87 during the morning session but regained its momentum in the final hour of trade to close at the day’s high.

In the broader market, however, decliners outpaced gainers 536 to 463, while 544 counters were unchanged, 1,180 untraded and 78 suspended.

Turnover narrowed to 1.88 billion units worth RM1.90bil from the 2.03 billion units worth RM1.79bil recorded on Monday.

Berjaya Research Sdn Bhd head of research Kenneth Leong said that on the final trading day of the year, the FBM KLCI is expected to remain subdued and trade within a narrow range as market participation continues to thin.

“With many investors already on the sidelines and limited fresh catalysts, near-term movements are likely to be driven by technical factors amid the absence of strong conviction buying.

“Overall sentiment is expected to turn lacklustre with the key index likely to trade in a narrow range,” he told Bernama, adding that the 1,690-point level will continue to serve as the immediate resistance, followed by the 1,700 psychological level.

Among heavyweight counters, Malayan Banking Bhd rose six sen to RM10.50, CIMB Group Holdings Bhd was flat at RM8.23, Public Bank Bhd gained three sen to RM4.54, Tenaga Nasional Bhd fell 10 sen to RM13.78, and IHH Healthcare Bhd added four sen to RM8.60.

On the most-active list, Tanco Holdings Bhd edged up one sen to RM1.15, Pharmaniaga Bhd eased one sen to 29 sen, Mega Fortis Bhd gained eight sen to 88 sen, TWL Holdings Bhd slid half a sen to two sen, and MQ Tech Bhd was unchanged at 8.5 sen.

As for the top gainers, Malaysian Pacific Industries Bhd was up 38 sen to RM32.88, Hong Leong Industries Bhd climbed 30 sen to RM16.70, Far East Holdings Bhd increased 25 sen to RM4.30, United Plantations Bhd gained 20 sen to RM30.24, and Panasonic Manufacturing Malaysia Bhd put on 15 sen to RM7.15.

Among the top losers, Nestle (M) Bhd gave up RM2.30 to RM113.40, Atlan lost 23 sen to RM2.90, Fraser & Neave Holdings Bhd dropped 20 sen to RM35.80, Master-Pack Group Bhd erased 15 sen to RM1.85, and Lysaght Galvanized Steel Bhd fell 14 sen to RM2.41.",Business,Markets,Complimentary,Medium,Eugene  Mahalingam,2025-12-31 00:00:00,"Markets,BursaMalaysia,FBMKLCI,WindowDressing,MarketSentiment,LateBuying","Bursa Malaysia's barometer index ended firmer yesterday, reversing losses earlier in the day to close 0.21% higher – a new high this year – driven by late buying activity amid signs of year-end window dressing.",https://www.thestar.com.my/business/business-news/2025/12/31/late-buying-lifts-fbm-klci,https://apicms.thestar.com.my/uploads/images/2025/12/31/3697717.png
1783544,Late buying lifts Bursa Malaysia's key index to close firmer,"KUALA LUMPUR: Bursa Malaysia’s barometer index ended firmer today, reversing losses earlier in the day to close 0.21 per cent higher -- a new high this year -- driven by late buying activities amid signs of year-end window dressing.

At 5 pm, the FTSE Bursa Malaysia KLCI (FBM KLCI) rose 3.54 points to 1,684.53 from Monday’s close of 1,680.99.

The FBM KLCI, which opened 3.33 points lower at 1,677.66, slipped to the day’s low of 1,673.87 during the morning session but regained its momentum in the final hour of trade to close at the day's high.

In the broader market, however, decliners outpaced gainers 536 to 463, while 544 counters were unchanged, 1,180 untraded and 78 suspended.

Turnover narrowed to 1.88 billion units worth RM1.90 billion from the 2.03 billion units worth RM1.79 billion recorded on Monday.

Berjaya Research Sdn Bhd head of research Kenneth Leong said that on the final trading day of the year, the FBM KLCI is expected to remain subdued and trade within a narrow range as market participation continues to thin.

""With many investors already on the sidelines and limited fresh catalysts, near-term movements are likely to be driven by technical factors amid the absence of strong conviction buying.

""Overall sentiment is expected to turn lacklustre with the key index likely to trade in a narrow range,” he told Bernama, adding that the 1,690-point level will continue to serve as the immediate resistance, followed by the 1,700 psychological level.

Among heavyweight counters, Maybank rose six sen to RM10.50, CIMB was flat at RM8.23, Public Bank gained three sen to RM4.54, Tenaga Nasional fell 10 sen to RM13.78, and IHH Healthcare added four sen to RM8.60.

On the most active list, Tanco edged up one sen to RM1.15, Pharmaniaga eased one sen to 29 sen, Mega Fortis garnered eight sen to 88 sen, TWL slid half a sen to two sen, and MQ Tech was unchanged at 8.5 sen.

As for the top gainers, MPI was up 38 sen to RM32.88, Hong Leong Industries climbed 30 sen to RM16.70, Far East increased 25 sen to RM4.30, United Plantations gained 20 sen to RM30.24, and Panasonic put on 15 sen to RM7.15.

Among the top losers, Nestle gave up RM2.30 to RM113.40, Atlan lost 23 sen to RM2.90, F&N dropped 20 sen to RM35.80, Master-Pack erased 15 sen to RM1.85, and Lysaght fell 14 sen to RM2.41.

On the index board, the FBM Emas Index rose 23.65 points to 12,328.54, the FBM Top 100 Index gained 27.06 points to 12,136.39, and the FBM Emas Shariah Index notched up 5.65 points to 12,119.57.

The FBM ACE Index retreated 13.48 points to 4,861.30 while the FBM Mid 70 Index added 44.51 points to 16,830.45.

Sector-wise, the Financial Services Index bagged 89.80 points to 19,766.79, the Plantation Index increased 20.07 points to 8,342.19, the Energy Index advanced 3.81 points to 768.73, and the Industrial Products and Services Index trimmed 0.09 of-a-point to 173.83.

Main Market volume widened to 1.18 billion units worth RM 1.76 billion from 1.13 billion units worth RM1.58 billion on Monday.

Warrants turnover declined to 423.74 million units worth RM47.03 million against 607.80 million units worth RM69.59 million yesterday.

ACE Market volume reduced to 272.99 million units valued at RM87.94 million compared to 285.10 million units valued at RM134.76 million previously.

Consumer products and services counters accounted for 184.26 million shares traded on the Main Market, industrial products and services (197.21 million), construction (69.50 million), technology (147.61 million), financial services (60.76 million), property (157.94 million), plantation (20.28 million), real estate investment trusts (11.87 million), closed-end fund (400), energy (108.74 million), healthcare (103.77 million), telecommunications and media (30.77 million), transportation and logistics (49.15 million), utilities (38.91 million), and business trusts (162,700). - Bernama",Business,Markets,Complimentary,Medium,,2025-12-30 00:00:00,"Markets,Bursa Malaysia,Closing,FBM KLCI","KUALA LUMPUR: Bursa Malaysia's barometer index ended firmer today, reversing losses earlier in the day to close 0.21 per cent higher -- a new high this year -- driven by late buying activities amid signs of year-end window dressing.",https://www.thestar.com.my/business/business-news/2025/12/30/late-buying-lifts-bursa-malaysia039s-key-index-to-close-firmer,https://apicms.thestar.com.my/uploads/images/2025/12/30/3697103.jpg
1784293,"MBSJ, MPSepang act against dumping, parking abuse, abandoned vehicles","ENFORCEMENT teams from Subang Jaya City Council (MBSJ)carried out a series of operations in several areas last month, targeting illegal dumping, misuse of public parking spaces, and abandoned vehicles.

MBSJ’s Special Action Unit (SAU) also took seized vehicles involved in illegal dumping and landfill activities at Kampung Seri Aman Tengah in Puchong.

The enforcement followed investigations which had discovered a lorry dumping soil waste and a backhoe excavator carrying out landfill works at the site.

According to MBSJ’s social media post, those involved failed to produce valid documents or approvals to use the area as a temporary domestic waste collection site.

The SAU then seized vehicles used in the activity.

On a separate occasion, MBSJ carried out enforcement against the placement of unauthorised objects in public parking bays, commonly referred to as “cop parking”, in PJS11, Bandar Sunway and Taman Puchong Prima.

Inspections found various objects including tyres and ice boxes placed without permission to block or reserve public parking spaces.

The objects were seized and later disposed of at MBSJ’s waste disposal centre.

In another operation, officers from MBSJ’s enforcement towing division removed several abandoned and damaged vehicles, and issued warning notices, following complaints from the public.

The action was taken on vehicles identified as being in poor condition or left unattended at several locations including Jalan Putra Indah in Subang Jaya, as well as Bandar Kinrara, Jalan Bandar 13 and Taman Puncak Kinrara in Puchong.

The vehicles were taken to MBSJ’s depot in Sri Puchong.

MBSJ reminded the public not to leave damaged or abandoned vehicles in public areas, adding that continued enforcement action would be carried out to safeguard the well-being of the local community.

Meanwhile, Sepang Municipal Council (MPSepang) carried out a vehicle towing operation in Cyberjaya as part of its enforcement efforts against illegal parking.

Enforcement officers conducted patrols and towing operations around Persiaran Bistari and Jalan Fauna 1.

The operation focused on vehicles parked illegally in public areas, with eight vehicles towed during the exercise.

In a social media post, MPSepang said it would continue firm action on parking offences to create smoother traffic flow and an orderly environment.",Metro,Metro News,Complimentary,Short,,2026-01-01 00:00:00,"ENFORCEMENT,Subang Jaya,illegal dumping,public parking,abandoned vehicles,Special Action Unit,seizure,Puchong,unauthorised objects,towing operation","ENFORCEMENT teams from Subang Jaya City Council (MBSJ)carried out a series of operations in several areas last month, targeting illegal dumping, misuse of public parking spaces, and abandoned vehicles.",https://www.thestar.com.my/metro/metro-news/2026/01/01/mbsj-mpsepang-act-against-dumping-parking-abuse-abandoned-vehicles,https://apicms.thestar.com.my/uploads/images/2026/01/01/3699119.jpg
1783021,Sepang charts steady growth with record planning approvals,"SEPANG took the lead in Selangor’s development landscape this year, reflecting steady investor interest within the municipality.

Sepang Municipal Council (MPSepang) recorded 470 planning approvals as of Dec 8, the highest among local authorities in the state.

The figure covers applications for planning and development permissions for residential, commercial and industrial projects processed by the council.

MPSepang president Dr Ani Ahmad said this was driven by strong investor interest, particularly after Sepang and neighbouring Kuala Langat were included in the state’s Integrated Development Region in South Selangor (Idriss).

She added that MPSepang also received 2,208 development plan submissions this year.

It was a notable achievement for the local council, which also saw a leadership change in the middle of the year.

Ani: MPSepang recorded the highest number of planning approvals among local authorities in the state.

Replacing Datuk Abd Hamid Hussain as MPSepang president, Ani said her focus was on understanding Sepang’s operational challenges, strengthening service delivery and refining urban planning.

The local council also got a much-needed boost in revenue when the Valuation List for assessment tax came into effect on Jan 1. It marked the first major revision since 1996.

Although the increase was capped at 25%, it generated an additional RM41mil in revenue, bringing total assessment tax collection to RM191.9mil.

Then deputy president Muhamad Shah Osmin said the additional revenue would be channelled towards 10 people-centric projects costing about RM50mil in total.

In July, MPSepang held a public exhibition of the Draft MPSepang Selangor Local Plan 2035 (Amendment), which included rezoning proposals for five flagship projects such as the KLIA Aeropolis and positioning Cyberjaya as a regional high-tech hub.

The plan also outlines initiatives to develop eco-cultural tourism in southern Sepang, improve the land transportation system and adopt the Sponge City concept for more sustainable urban water management.

One of Sepang’s long-term projects also moved a step forward this year with detailed inspections carried out on the Sri Banting Dredge in Dengkil.

The exercise was to assess the condition of the floating platform and determine the scope of restoration works.

The assessment was to help the local council estimate the repair requirements and project timeline to restore the 50-year-old dredge.

The restoration of the dredge is for the construction of the 29.14ha national tin mining heritage park, expected to be fully operational by 2028.

The project has received RM10mil from the Selangor government and RM3mil from Tourism, Arts and Culture Ministry.

MPSepang also received an Honour Award from the Institute of Landscape Architects Malaysia for two research projects on the dredge conducted by its Town Planning Department.",Metro,Metro News,Complimentary,Medium,,2025-12-30 00:00:00,"Sepang,Selangor,development,MPSepang,planning approvals,Integrated Development Region,assessment tax,KLIA Aeropolis,Cyberjaya,Sri Banting Dredge","SEPANG took the lead in Selangor's development landscape this year, reflecting steady investor interest within the municipality.",https://www.thestar.com.my/metro/metro-news/2025/12/30/sepang-charts-steady-growth-with-record-planning-approvals,https://apicms.thestar.com.my/uploads/images/2025/12/30/3695834.jpg
1781516,Pouring hearts and joy into children’s shelters,"IN THE spirit of spreading Christmas cheer, Pengurusan Air Selangor Sdn Bhd’s (Air Selangor) Hydro Heroes, comprising employees and senior management, spent quality time with children in shelters.

They contributed food supplies, clothes, cleaning tools and household essentials to BRDB Rotary Children’s Residence in Seri Kembangan, Shelter Home for Children in Petaling Jaya and Pusat Jagaan Kanak-Kanak Openhands Fellowship in Kajang.

At the BRDB Rotary Children’s Residence, they also helped make a mini Christmas tree, sang carols and celebrated birthdays.

Air Selangor corporate communications head Elina Baseri said, “Through our Sesama Mara (community investment) initiative, Air Selangor is committed to reaching out to vulnerable communities and ensuring that no one is left behind during this festive season.

“We hope our small contribution brings smiles to the children,” she said.

Under the same initiative, Air Selangor has distributed its Box of Hope aid containing essential food items to 8,583 underprivileged families around Selangor, Kuala Lumpur and Putrajaya since June 2020.

It hopes the assistance helps strengthen its relationship with communities, residents’ associations, local authorities and non -governmental organisations.

Box of Hope contributions can be made at five locations within Village Grocer.

They are Tamarind Square Cyberjaya, MyTOWN Shopping Centre Cheras, 1 Mont Kiara, Central i -City Shah Alam and Melawati Mall Ampang.

A digital version is also available, allowing the public to make digital contributions through www.airselangor.com/boxofhope/

For more information about the Sesama Mara initiative, visit www.airselangor.com/about-us/sustainability/sesama-mara",Metro,Metro News,Complimentary,Short,,2025-12-27 00:00:00,"Air Selangor,Sesama Mara,underprivileged children,Christmas,contribution,Box of Hope,charity homes,Hydro Heroes,Kuala Lumpur,digital contributions","IN THE spirit of spreading Christmas cheer, Pengurusan Air Selangor Sdn Bhd's (Air Selangor) Hydro Heroes, comprising employees and senior management, spent quality time with children in shelters.",https://www.thestar.com.my/metro/metro-news/2025/12/27/pouring-hearts-and-joy-into-childrens-shelters,https://apicms.thestar.com.my/uploads/images/2025/12/27/3691750.JPG
1785275,Malaysian illustrators colour the year in the SembangSembang calendar series,"The new year is here, and with it comes a fresh calendar. Projek SembangSembang’s annual edition is worth exploring, featuring exclusive artworks by Malaysian illustrators, designers, and artists.

This year, the colourful booklet calendar series “365 HARIhari” celebrates its fifth edition.

For illustrator and creative entrepreneur Aqilah Aminuddin, who guided the project since its Covid 19 pandemic days, showcasing local artists’ works is one of the best ways to support one another.

“As a group, we believe in making something for memorable occasions, and the new year is one of those that we have come to celebrate diligently. We love that through this (project), we’re able to make new friends and keep old friends,” she says.

This latest calendar also came together online - a nod to the lockdown era - with each artist following the theme and meeting the deadline.

CultKids' artwork for the 2026 calendar, which says, 'Against all cobaan (challenges) and rintangan hidup dunia (the daily obstacles in life). Photo: CultKids

Aqilah, who runs the Mari Ke Kedai pop culture store in Tamarind Square, Cyberjaya, said a booklet calendar was an ideal medium because it’s both useful and functional.

“Our booklet calendar can be a compact planner that you can carry with you everywhere, thanks to its size and weight. You can also transform it into a wall calendar with a simple paper clip or even a desk calendar with an additional stand,” she says.

For the 2026 calendar, Projek SembangSembang brought together popular artists you might follow on Instagram or have seen at events like the Kuala Lumpur Illustration Fair, including Bunga Dan Bintang, Studio Sunprint, CultKids, Myasquerade, Graphnin, Super Duper! Mediocre, Ke Ai De Ke, Wednesday Gala, Afi Sulaiman, and Munsya.

Each year, the calendar follows a theme that guides the selected artists in creating unique works for the project. This year’s theme, ‘Yes, ... but ...,’ invited artists to fill in the blanks with their own interpretations.

Bunga Dan Bintang's response to the theme was, 'Yes, work hard as you can, but rest just as sweetly.' Photo: Projek SembangSembang

“Everyone was asked to come up with an artwork that best reflected their understanding of saying ‘yes, but ...’ in situations we face daily,"" says Aqilah.

Illustrator CultKids, aka Syazri Zamrod, is known for nostalgic designs inspired by vintage Malaysian music and films. He’s contributed to the Projek SembangSembang calendar since 2023.

For this year's theme, he responded: “Yes, life is tough, but so am I. Against all cobaan (challenges)!”

He says the independent project has been a wonderful way to connect with and appreciate the work of talented local artists.

“Everyone brings their own unique style and design, all compiled into a single booklet. It’s like a rojak (combination) of Malaysian creativity, coming together in one calendar,"" says CultKids.

Projek SembangSembang’s annual calendar, '365 HARIhari,' features a collaborative artwork by a local artist for each month. Photo: Projek SembangSembang

“Seeing the finished product fills me with pride and excitement, and it’s been even more rewarding to receive positive feedback from those who have bought the calendar,” he adds.

As for artist Afi Sulaiman, she went with, “Yes, I’m older, but I’m better,” as she reflects on turning 30 this year.

She drew inspiration from society’s view of ageing, often seen as something frightening and a reminder that youth is fleeting.

""Some of us may think we’re missing out on doing the things we should be doing in our prime, yet another way of looking at it is that we’re also closer to being a better version of ourselves every day because of our life experiences, from the milestones we reach to the lessons we’ve learnt, so it’s still worth celebrating!” says Afi.

If you’re interested in getting a copy of the calendar, check out Projek SembangSembang’s social media accounts for more info.",Lifestyle,Arts,Complimentary,Medium,,2026-01-02 00:00:00,"Arts,Projek SembangSembang,calendar,artist,illustrator,designer,Malaysia","The indie calendar project, which began during the pandemic, has built a tight-knit community of illustrators and artists",https://www.thestar.com.my/lifestyle/culture/2026/01/02/malaysian-illustrators-colour-the-year-in-the-sembangsembang-calendar-series,https://apicms.thestar.com.my/uploads/images/2026/01/02/3701422.jpg
1780579,Environment Dept raids Johor illegal waste site over burning odour,"JOHOR BARU: The Johor Environment Department raided an illegal waste disposal site along Jalan Kempas Lama here on Tuesday (Dec 24) following complaints of a burning odour detected in several areas of the district since Monday.

The department said the raid, carried out based on information provided by state health and environment committee chairman Ling Tian Soon, found open burning activities at the site.

""However, during the inspection, no unusual odour resulting from the burning activities was detected at the time,"" the department said in a statement posted on its Facebook page.

The DOE said follow-up investigations will continue to identify the actual source of the pollution and ensure that those responsible are brought to justice.

In a related development, the department said two enforcement teams conducted intensive monitoring to detect the source of odours in several industrial areas and along major routes here, from 9pm until 3am on Wednesday.

The monitoring covered Jalan Seelong Jaya 2 to Jalan Seelong 15, the Taman Berjaya Industrial Area, Maju Jaya Industrial Area, Kempas Utama Industrial Area, Tebrau Industrial Area 1, as well as Jalan Kempas Lama and Jalan Bukit Kempas Lama.

The department said no unusual odours were detected at most of the locations, except at the Maju Jaya Industrial Area and along Jalan Kempas Lama, where residual burning odours were detected.

Monitoring was also extended to residential areas, including Bandar Dato' Onn, Bandar Setia Tropika, Kampung Maju Jaya, Taman Impian Emas, Taman Tampoi Indah and Taman Perling.

""Based on observations at the residential locations, no unusual odours were detected throughout the monitoring period,"" it said.

In this regard, the public is urged to channel any complaints related to environmental pollution through the toll-free hotline at 1-800-88-2727, via email at aduan_k@doe.gov.my or through the complaints portal at https://eaduan.doe.gov.my - Bernama",News,Nation,Complimentary,Short,,2025-12-24 00:00:00,"Environment,DOE,Burning,Odour,Raid,Disposal,Garbage,Environment Department,",JOHOR BARU: The Johor Environment Department raided an illegal waste disposal site along Jalan Kempas Lama here on Tuesday (Dec 24) following complaints of a burning odour detected in several areas of the district since Monday.,https://www.thestar.com.my/news/nation/2025/12/24/environment-dept-raids-johor-illegal-waste-site-over-burning-odour,https://apicms.thestar.com.my/uploads/images/2025/12/24/3689432.jpg
