Company,Year,Reliability Score,Relevance Score,Understandability Score,Mean Score
Berjaya,2016,8,7,8,7.6667
Berjaya,2017,8,7,8,7.6667
Berjaya,2018,8.5,7,8.5,8.0
Berjaya,2019,8.2,6.5,7.6,7.4333
Berjaya,2020,8.2,6.8,8.1,7.7
Berjaya,2021,8.2,7.1,8.3,7.8667
Berjaya,2022,7.5,7.0,7.5,7.3333
Berjaya,2023,8,7,8,7.6667
Berjaya,2024,8,7,8,7.6667
F&N,2016,8,7,8,7.6667
F&N,2017,8.25,7.75,7.5,7.8333
F&N,2018,8.0,7.5,8.0,7.8333
F&N,2019,8,7,8,7.6667
F&N,2020,8.5,8,8.3,8.2667
F&N,2021,8.5,7.8,7.6,7.9667
F&N,2022,8,8,8,8.0
F&N,2023,9,8,8,8.3333
F&N,2024,7.5,6.8,7.2,7.1667
Power,2016,8,7,7,7.3333
Power,2017,9,8,8,8.3333
Power,2018,8,7,8,7.6667
Power,2019,8.2,7.1,8.3,7.8667
Power,2020,8.5,7.2,8.3,8.0
Power,2021,8,7,8,7.6667
Power,2022,8.5,7.5,8.5,8.1667
Power,2023,8.5,7.5,8.5,8.1667
Power,2024,8,7,8,7.6667
QL,2016,8,7,8,7.6667
QL,2017,7.5,7.5,8.5,7.8333
QL,2018,8.5,8,8,8.1667
QL,2019,8,8,8,8.0
QL,2020,8.0,7.5,7.5,7.6667
QL,2021,8,8,9,8.3333
QL,2022,8.5,8,8,8.1667
QL,2023,8.5,7.5,7.5,7.8333
QL,2024,8.5,8,8,8.1667
